Ano,Pos,Clube,Jc,Vc,Ec,Dc,GPc,GCc,SDc,Ptsc,Ptsc/Jc
2014,1,Cruzeiro,19,15,2,2,43,17,26,47,2.47
2014,2,São Paulo,19,11,6,2,32,16,16,39,2.05
2014,3,Internacional,19,15,0,4,37,16,21,45,2.37
2014,4,Corinthians,19,12,6,1,32,15,17,42,2.21
2014,5,Atlético Mineiro,19,12,5,2,28,12,16,41,2.16
2014,6,Fluminense,19,11,6,2,40,19,21,39,2.05
2014,7,Grêmio,19,12,4,3,24,11,13,40,2.11
2014,8,Atl Paranaense,19,10,5,4,24,14,10,35,1.84
2014,9,Santos,19,10,3,6,25,12,13,33,1.74
2014,10,Flamengo,19,10,5,4,29,15,14,35,1.84
2014,11,Sport Recife,19,10,6,3,23,16,7,36,1.89
2014,12,Goiás,19,10,4,5,30,14,16,34,1.79
2014,13,Figueirense,19,7,5,7,24,20,4,26,1.37
2014,14,Coritiba,19,10,5,4,24,11,13,35,1.84
2014,15,Chapecoense,19,8,7,4,24,11,13,31,1.63
2014,16,Palmeiras,19,7,4,8,21,23,-2,25,1.32
2014,17,Vitória,19,6,5,8,23,22,1,23,1.21
2014,18,Bahia,19,6,4,9,14,17,-3,22,1.16
2014,19,Botafogo (RJ),19,8,5,6,24,19,5,29,1.53
2014,20,Criciúma,19,7,5,7,19,20,-1,26,1.37
2015,1,Corinthians,19,16,2,1,41,11,30,50,2.63
2015,2,Atlético Mineiro,19,13,2,4,36,20,16,41,2.16
2015,3,Grêmio,19,14,3,2,35,15,20,45,2.37
2015,4,São Paulo,19,12,6,1,35,16,19,42,2.21
2015,5,Internacional,19,14,3,2,28,9,19,45,2.37
2015,6,Sport Recife,19,13,5,1,33,9,24,44,2.32
2015,7,Santos,19,15,3,1,47,15,32,48,2.53
2015,8,Cruzeiro,19,10,6,3,28,11,17,36,1.89
2015,9,Palmeiras,19,9,4,6,31,23,8,31,1.63
2015,10,Atl Paranaense,19,9,6,4,30,20,10,33,1.74
2015,11,Ponte Preta,19,9,4,6,22,15,7,31,1.63
2015,12,Flamengo,19,8,3,8,28,26,2,27,1.42
2015,13,Fluminense,19,10,3,6,25,19,6,33,1.74
2015,14,Chapecoense,19,9,5,5,23,19,4,32,1.68
2015,15,Coritiba,19,6,8,5,15,14,1,26,1.37
2015,16,Figueirense,19,7,6,6,18,17,1,27,1.42
2015,17,Avaí,19,8,5,6,26,26,0,29,1.53
2015,18,Vasco da Gama,19,5,6,8,13,23,-10,21,1.11
2015,19,Goiás,19,7,4,8,22,17,5,25,1.32
2015,20,Joinville,19,6,7,6,19,17,2,25,1.32
2016,1,Palmeiras,19,14,4,1,35,13,22,46,2.42
2016,2,Santos,19,15,2,2,36,11,25,47,2.47
2016,3,Flamengo,19,12,5,2,31,16,15,41,2.16
2016,4,Atlético Mineiro,19,13,3,3,39,20,19,42,2.21
2016,5,Botafogo (RJ),19,10,5,4,27,17,10,35,1.84
2016,6,Atl Paranaense,19,15,3,1,27,6,21,48,2.53
2016,7,Corinthians,19,10,7,2,27,11,16,37,1.95
2016,8,Grêmio,19,11,4,4,22,11,11,37,1.95
2016,9,Ponte Preta,19,13,2,4,33,18,15,41,2.16
2016,10,São Paulo,19,9,5,5,29,13,16,32,1.68
2016,11,Chapecoense,18,8,6,4,25,21,4,30,1.67
2016,12,Cruzeiro,19,7,7,5,29,26,3,28,1.47
2016,13,Fluminense,19,8,6,5,30,24,6,30,1.58
2016,14,Sport Recife,19,10,5,4,33,22,11,35,1.84
2016,15,Coritiba,19,9,7,3,29,17,12,34,1.79
2016,16,Vitória,19,8,4,7,30,24,6,28,1.47
2016,17,Internacional,19,9,5,5,21,15,6,32,1.68
2016,18,Figueirense,19,7,9,3,21,16,5,30,1.58
2016,19,Santa Cruz,19,7,2,10,27,27,0,23,1.21
2016,20,América (MG),19,7,3,9,13,20,-7,24,1.26
2017,1,Corinthians,19,12,5,2,32,15,17,41,2.16
2017,2,Palmeiras,19,12,3,4,35,16,19,39,2.05
2017,3,Santos,19,12,4,3,25,12,13,40,2.11
2017,4,Grêmio,19,10,4,5,26,13,13,34,1.79
2017,5,Cruzeiro,19,9,7,3,26,17,9,34,1.79
2017,6,Flamengo,19,10,6,3,32,13,19,36,1.89
2017,7,Vasco da Gama,19,8,7,4,21,21,0,31,1.63
2017,8,Chapecoense,19,9,3,7,24,21,3,30,1.58
2017,9,Atlético Mineiro,19,7,4,8,27,27,0,25,1.32
2017,10,Botafogo (RJ),19,9,3,7,30,25,5,30,1.58
2017,11,Atl Paranaense,19,8,5,6,29,20,9,29,1.53
2017,12,Bahia,19,10,4,5,34,21,13,34,1.79
2017,13,São Paulo,19,9,8,2,29,18,11,35,1.84
2017,14,Fluminense,19,7,6,6,27,24,3,27,1.42
2017,15,Sport Recife,19,7,7,5,27,21,6,28,1.47
2017,16,Vitória,19,3,5,11,22,31,-9,14,0.74
2017,17,Coritiba,19,7,5,7,21,18,3,26,1.37
2017,18,Avaí,19,5,9,5,15,20,-5,24,1.26
2017,19,Ponte Preta,19,9,3,7,26,21,5,30,1.58
2017,20,Atl Goianiense,19,4,5,10,18,23,-5,17,0.89
2018,1,Palmeiras,19,16,2,1,42,13,29,50,2.63
2018,2,Flamengo,19,14,2,3,30,8,22,44,2.32
2018,3,Internacional,19,14,4,1,32,10,22,46,2.42
2018,4,Grêmio,19,12,5,2,36,14,22,41,2.16
2018,5,São Paulo,19,10,8,1,25,13,12,38,2.0
2018,6,Atlético Mineiro,19,12,4,3,31,15,16,40,2.11
2018,7,Atl Paranaense,19,14,2,3,44,14,30,44,2.32
2018,8,Cruzeiro,19,11,4,4,25,14,11,37,1.95
2018,9,Botafogo (RJ),19,10,7,2,22,14,8,37,1.95
2018,10,Santos,19,9,6,4,28,14,14,33,1.74
2018,11,Bahia,19,10,7,2,27,13,14,37,1.95
2018,12,Fluminense,19,9,5,5,17,11,6,32,1.68
2018,13,Corinthians,19,9,8,2,19,12,7,35,1.84
2018,14,Chapecoense,19,10,5,4,24,16,8,35,1.84
2018,15,Ceará,19,7,8,4,18,16,2,29,1.53
2018,16,Vasco da Gama,19,9,5,5,29,24,5,32,1.68
2018,17,Sport Recife,19,8,6,5,19,17,2,30,1.58
2018,18,América (MG),19,8,7,4,22,17,5,31,1.63
2018,19,Vitória,19,7,5,7,22,24,-2,26,1.37
2018,20,Paraná,19,3,10,6,13,23,-10,19,1.0
2019,1,Flamengo,19,17,2,0,56,18,38,53,2.79
2019,2,Santos,19,14,4,1,44,15,29,46,2.42
2019,3,Palmeiras,19,13,4,2,40,13,27,43,2.26
2019,4,Grêmio,19,12,3,4,38,18,20,39,2.05
2019,5,Atl Paranaense,19,12,3,4,26,11,15,39,2.05
2019,6,São Paulo,19,10,6,3,23,12,11,36,1.89
2019,7,Internacional,19,11,6,2,28,15,13,39,2.05
2019,8,Corinthians,19,10,7,2,25,13,12,37,1.95
2019,9,Fortaleza,19,11,2,6,26,17,9,35,1.84
2019,10,Goiás,19,11,3,5,31,23,8,36,1.89
2019,11,Bahia,19,7,8,4,24,18,6,29,1.53
2019,12,Vasco da Gama,19,7,6,6,20,22,-2,27,1.42
2019,13,Atlético Mineiro,19,10,2,7,28,23,5,32,1.68
2019,14,Fluminense,19,6,7,6,18,15,3,25,1.32
2019,15,Botafogo (RJ),19,9,2,8,19,17,2,29,1.53
2019,16,Ceará,19,8,6,5,23,14,9,30,1.58
2019,17,Cruzeiro,19,5,8,6,13,17,-4,23,1.21
2019,18,CSA,19,6,5,8,17,24,-7,23,1.21
2019,19,Chapecoense,19,4,5,10,16,22,-6,17,0.89
2019,20,Avaí,19,1,9,9,10,24,-14,12,0.63
2020,1,Flamengo,19,11,4,4,35,23,12,37,1.95
2020,2,Internacional,19,12,5,2,34,17,17,41,2.16
2020,3,Atlético Mineiro,19,14,4,1,41,13,28,46,2.42
2020,4,São Paulo,19,10,7,2,29,16,13,37,1.95
2020,5,Fluminense,19,11,5,3,31,14,17,38,2.0
2020,6,Grêmio,19,10,6,3,34,23,11,36,1.89
2020,7,Palmeiras,19,9,8,2,33,16,17,35,1.84
2020,8,Santos,19,9,7,3,35,23,12,34,1.79
2020,9,Atl Paranaense,19,9,5,5,20,13,7,32,1.68
2020,10,Bragantino,19,10,5,4,34,19,15,35,1.84
2020,11,Ceará,19,7,5,7,22,25,-3,26,1.37
2020,12,Corinthians,19,8,7,4,29,23,6,31,1.63
2020,13,Atl Goianiense,19,6,9,4,24,21,3,27,1.42
2020,14,Bahia,19,9,2,8,27,26,1,29,1.53
2020,15,Sport Recife,19,8,2,9,19,23,-4,26,1.37
2020,16,Fortaleza,19,8,6,5,20,15,5,30,1.58
2020,17,Vasco da Gama,19,7,5,7,21,21,0,26,1.37
2020,18,Goiás,19,6,5,8,19,28,-9,23,1.21
2020,19,Coritiba,19,4,6,9,13,19,-6,18,0.95
2020,20,Botafogo (RJ),19,3,5,11,16,30,-14,14,0.74
2021,1,Atlético Mineiro,19,17,1,1,42,13,29,52,2.74
2021,2,Flamengo,19,13,1,5,31,15,16,40,2.11
2021,3,Palmeiras,19,11,3,5,33,26,7,36,1.89
2021,4,Fortaleza,19,11,4,4,26,19,7,37,1.95
2021,5,Corinthians,19,10,5,4,26,18,8,35,1.84
2021,6,Bragantino,19,7,9,3,28,20,8,30,1.58
2021,7,Fluminense,19,11,5,3,24,14,10,38,2.0
2021,8,América (MG),19,9,6,4,22,11,11,33,1.74
2021,9,Atl Goianiense,19,6,10,3,17,14,3,28,1.47
2021,10,Santos,19,9,6,4,21,14,7,33,1.74
2021,11,Ceará,19,10,7,2,24,14,10,37,1.95
2021,12,Internacional,19,8,6,5,29,22,7,30,1.58
2021,13,São Paulo,19,7,9,3,18,15,3,30,1.58
2021,14,Atl Paranaense,19,8,5,6,23,21,2,29,1.53
2021,15,Cuiabá,19,7,6,6,18,20,-2,27,1.42
2021,16,Juventude,19,9,6,4,19,15,4,33,1.74
2021,17,Grêmio,19,8,6,5,29,21,8,30,1.58
2021,18,Bahia,19,8,5,6,27,22,5,29,1.53
2021,19,Sport Recife,19,5,7,7,13,13,0,22,1.16
2021,20,Chapecoense,19,0,6,13,13,32,-19,6,0.32
2022,1,Palmeiras,19,13,4,2,39,12,27,43,2.26
2022,2,Internacional,19,13,5,1,40,14,26,44,2.32
2022,3,Fluminense,19,12,3,4,39,20,19,39,2.05
2022,4,Corinthians,19,12,4,3,24,11,13,40,2.11
2022,5,Flamengo,19,11,3,5,37,15,22,36,1.89
2022,6,Atl Paranaense,19,11,6,2,31,17,14,39,2.05
2022,7,Atlético Mineiro,19,8,5,6,25,18,7,29,1.53
2022,8,Fortaleza,19,7,8,4,24,13,11,29,1.53
2022,9,São Paulo,19,8,6,5,32,21,11,30,1.58
2022,10,América (MG),19,9,4,6,22,18,4,31,1.63
2022,11,Botafogo (RJ),19,6,4,9,18,19,-1,22,1.16
2022,12,Santos,19,8,5,6,28,19,9,29,1.53
2022,13,Goiás,19,6,8,5,20,22,-2,26,1.37
2022,14,Bragantino,19,8,5,6,29,23,6,29,1.53
2022,15,Coritiba,19,11,4,4,25,16,9,37,1.95
2022,16,Cuiabá,19,6,8,5,17,15,2,26,1.37
2022,17,Ceará,19,4,8,7,20,22,-2,20,1.05
2022,18,Atl Goianiense,19,6,5,8,22,23,-1,23,1.21
2022,19,Avaí,19,7,4,8,24,26,-2,25,1.32
2022,20,Juventude,19,2,9,8,18,27,-9,15,0.79
